Header/TransitOperation/security/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Security} > ${Valid to}
Header/TransitOperation/security/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Security} > ${_ description}
Header/TransitOperation/security/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Security} > ${Description language}
Header/TransitOperation/reducedDatasetIndicator;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReducedDatasetIndicator}
Header/TransitOperation/specificCircumstanceIndicator;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$SpecificCircumstanceIndicator}
Header/TransitOperation/specificCircumstanceIndicator/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$SpecificCircumstanceIndicator} > ${Code}
Header/TransitOperation/specificCircumstanceIndicator/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$SpecificCircumstanceIndicator} > ${Description}
Header/TransitOperation/specificCircumstanceIndicator/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$SpecificCircumstanceIndicator} > ${Valid from}
Header/TransitOperation/specificCircumstanceIndicator/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$SpecificCircumstanceIndicator} > ${Valid to}
Header/TransitOperation/specificCircumstanceIndicator/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$SpecificCircumstanceIndicator} > ${_ description}
Header/TransitOperation/specificCircumstanceIndicator/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$SpecificCircumstanceIndicator} > ${Description language}
Header/TransitOperation/totalValueOfGoods;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$TotalValueOfGoods}
Header/TransitOperation/communicationLanguageAtDeparture;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CommunicationLanguageAtDeparture}
Header/TransitOperation/communicationLanguageAtDeparture/Country;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CommunicationLanguageAtDeparture} > ${Country}
Header/TransitOperation/communicationLanguageAtDeparture/LanguageCode;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CommunicationLanguageAtDeparture} > ${LanguageCode}
Header/TransitOperation/communicationLanguageAtDeparture/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CommunicationLanguageAtDeparture} > ${Description}
Header/TransitOperation/communicationLanguageAtDeparture/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CommunicationLanguageAtDeparture} > ${Valid from}
Header/TransitOperation/communicationLanguageAtDeparture/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CommunicationLanguageAtDeparture} > ${Valid to}
Header/TransitOperation/communicationLanguageAtDeparture/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CommunicationLanguageAtDeparture} > ${Description language}
Header/TransitOperation/communicationLanguageAtDeparture/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CommunicationLanguageAtDeparture} > ${_ description}
Header/TransitOperation/declarationAcceptanceDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationAcceptanceDate}
Header/TransitOperation/amendmentSubmissionDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AmendmentSubmissionDateAndTime}
Header/TransitOperation/amendmentAcceptanceDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AmendmentAcceptanceDateAndTime}
Header/TransitOperation/arrivalNotificationDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ArrivalNotificationDateAndTime}
Header/TransitOperation/simplifiedProcedure;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$SimplifiedProcedure}
Header/TransitOperation/incidentFlag;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$IncidentFlag}
Header/TransitOperation/releaseRequested;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseRequested}
Header/TransitOperation/releaseRequestDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseRequestDateAndTime}
Header/TransitOperation/otherThingsToReport;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$OtherThingsToReport}
Header/TransitOperation/discrepanciesNotificationDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DiscrepanciesNotificationDate}
Header/TransitOperation/discrepanciesNotificationText;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DiscrepanciesNotificationText}
Header/TransitOperation/discrepanciesResolved;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DiscrepanciesResolved}
Header/TransitOperation/discrepanciesResolved/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DiscrepanciesResolved} > ${DiscrepancyResolutionCode}
Header/TransitOperation/discrepanciesResolved/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DiscrepanciesResolved} > ${Description}
Header/TransitOperation/discrepanciesResolved/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DiscrepanciesResolved} > ${Valid from}
Header/TransitOperation/discrepanciesResolved/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DiscrepanciesResolved} > ${Valid to}
Header/TransitOperation/discrepanciesResolved/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DiscrepanciesResolved} > ${_ description}
Header/TransitOperation/discrepanciesResolved/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DiscrepanciesResolved} > ${Description language}
Header/TransitOperation/releaseIndicator;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseIndicator}
Header/TransitOperation/releaseIndicator/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseIndicator} > ${ReleaseNotificationCode}
Header/TransitOperation/releaseIndicator/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseIndicator} > ${Description}
Header/TransitOperation/releaseIndicator/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseIndicator} > ${Valid from}
Header/TransitOperation/releaseIndicator/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseIndicator} > ${Valid to}
Header/TransitOperation/releaseIndicator/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseIndicator} > ${_ description}
Header/TransitOperation/releaseIndicator/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseIndicator} > ${Description language}
Header/TransitOperation/writeOffDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$WriteOffDate}
Header/TransitOperation/declarationSubmissionDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationSubmissionDateAndTime}
Header/TransitOperation/noReleaseMotivationCode;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NoReleaseMotivationCode}
Header/TransitOperation/noReleaseMotivationCode/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NoReleaseMotivationCode} > ${NoReleaseMotivationCode}
Header/TransitOperation/noReleaseMotivationCode/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NoReleaseMotivationCode} > ${Description}
Header/TransitOperation/noReleaseMotivationCode/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NoReleaseMotivationCode} > ${Valid from}
Header/TransitOperation/noReleaseMotivationCode/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NoReleaseMotivationCode} > ${Valid to}
Header/TransitOperation/noReleaseMotivationCode/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NoReleaseMotivationCode} > ${_ description}
Header/TransitOperation/noReleaseMotivationCode/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NoReleaseMotivationCode} > ${Description language}
Header/TransitOperation/noReleaseMotivationText;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NoReleaseMotivationText}
Header/TransitOperation/controlNotificationDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ControlNotificationDateAndTime}
Header/TransitOperation/notificationType;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NotificationType}
Header/TransitOperation/notificationType/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NotificationType} > ${Code}
Header/TransitOperation/notificationType/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NotificationType} > ${SloupecCiselniku}
Header/TransitOperation/notificationType/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NotificationType} > ${Valid from}
Header/TransitOperation/notificationType/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NotificationType} > ${Valid to}
Header/TransitOperation/notificationType/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NotificationType} > ${_ description}
Header/TransitOperation/notificationType/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$NotificationType} > ${Description language}
Header/TransitOperation/requestOnNonArrivedMovementDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RequestOnNonArrivedMovementDate}
Header/TransitOperation/limitForResponseDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$LimitForResponseDate}
Header/TransitOperation/requestRejectionReasonCode;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RequestRejectionReasonCode}
Header/TransitOperation/requestRejectionReasonCode/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RequestRejectionReasonCode} > ${AarRejectionCode}
Header/TransitOperation/requestRejectionReasonCode/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RequestRejectionReasonCode} > ${Description}
Header/TransitOperation/requestRejectionReasonCode/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RequestRejectionReasonCode} > ${Valid from}
Header/TransitOperation/requestRejectionReasonCode/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RequestRejectionReasonCode} > ${Valid to}
Header/TransitOperation/requestRejectionReasonCode/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RequestRejectionReasonCode} > ${_ description}
Header/TransitOperation/requestRejectionReasonCode/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RequestRejectionReasonCode} > ${Description language}
Header/TransitOperation/arrivalDateAndTimeActual;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ArrivalDateAndTimeActual}
Header/TransitOperation/status;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Status}
Header/TransitOperation/status/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Status} > ${Code}
Header/TransitOperation/status/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Status} > ${Description}
Header/TransitOperation/status/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Status} > ${Valid from}
Header/TransitOperation/status/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Status} > ${Valid to}
Header/TransitOperation/status/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Status} > ${_ description}
Header/TransitOperation/status/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$Status} > ${Description language}
Header/TransitOperation/cancelEnquiryNotificationDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CancelEnquiryNotificatio3709CE6E}
Header/TransitOperation/cancelEnquiryNotificationText;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$CancelEnquiryNotificationText}
Header/TransitOperation/recoveryCommunicationDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RecoveryCommunicationDate}
Header/TransitOperation/passageDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$PassageDate}
Header/TransitOperation/declarationAcceptanceDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DeclarationAcceptanceDateAndTime}
Header/TransitOperation/IsEDIDeparture;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$IsEDIAtDeparture}
Header/TransitOperation/releaseDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$ReleaseDateAndTime}
Header/TransitOperation/submitDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$SubmitTimeStamp}
Header/TransitOperation/rejectionCode;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RejectionCode}
Header/TransitOperation/rejectionCode/Code;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RejectionCode} > ${RejectionDepartureExportCode}
Header/TransitOperation/rejectionCode/Description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RejectionCode} > ${Description}
Header/TransitOperation/rejectionCode/ValidFrom;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RejectionCode} > ${Valid from}
Header/TransitOperation/rejectionCode/ValidTo;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RejectionCode} > ${Valid to}
Header/TransitOperation/rejectionCode/_description;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RejectionCode} > ${_ description}
Header/TransitOperation/rejectionCode/Lng;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RejectionCode} > ${Description language}
Header/TransitOperation/rejectionReason;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$RejectionReason}
Header/TransitOperation/requestRejectionDateAndTime;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$DateAndTimeOfRequestReje1DE972C6}
Header/TransitOperation/LRN;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$LRN}
Header/TransitOperation/limitDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$LimitDate}
Header/TransitOperation/amendmentTypeFlag;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$AmendmentTypeFlag}
Header/TransitOperation/bindingItinerary;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$BindingItinerary}
Header/TransitOperation/TIRValidityDate;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$TIRValidityDate1}
Header/TransitOperation/MRN;${L_main$$Header} > ${L_Model$$TransitOperation} > ${L_Model$$MRN}
Header/Authorisation;${L_main$$Header} > ${L_Model$$Authorisation}
Header/Authorisation[];${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation}
Header/Authorisation/type;${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation} > ${L_Model$$Type}
Header/Authorisation/type/Code;${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation} > ${L_Model$$Type} > ${AuthorisationType}
Header/Authorisation/type/Description;${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation} > ${L_Model$$Type} > ${Description}
Header/Authorisation/type/ValidFrom;${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation} > ${L_Model$$Type} > ${Valid from}
Header/Authorisation/type/ValidTo;${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation} > ${L_Model$$Type} > ${Valid to}
Header/Authorisation/type/_description;${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation} > ${L_Model$$Type} > ${_ description}
Header/Authorisation/type/Lng;${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation} > ${L_Model$$Type} > ${Description language}
Header/Authorisation/referenceNumber;${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation} > ${L_Model$$ReferenceNumber}
Header/Authorisation/roleCO;${L_main$$Header} > ${L_Model$$Authorisation} ${IX_Authorisation} > ${L_Model$$CustomsOfficeRole}
Header/CustomsOfficeOfDeparture;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDeparture}
Header/CustomsOfficeOfDeparture/referenceNumber;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDeparture} > ${L_Model$$ReferenceNumber}
Header/CustomsOfficeOfDeparture/referenceNumber/Code;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDeparture} > ${L_Model$$ReferenceNumber} > ${ReferenceNumber}
Header/CustomsOfficeOfDeparture/referenceNumber/Description;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDeparture} > ${L_Model$$ReferenceNumber} > ${Description}
Header/CustomsOfficeOfDeparture/referenceNumber/ValidFrom;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDeparture} > ${L_Model$$ReferenceNumber} > ${Valid from}
Header/CustomsOfficeOfDeparture/referenceNumber/ValidTo;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDeparture} > ${L_Model$$ReferenceNumber} > ${Valid to}
Header/CustomsOfficeOfDeparture/referenceNumber/_description;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDeparture} > ${L_Model$$ReferenceNumber} > ${_ description}
Header/CustomsOfficeOfDeparture/referenceNumber/Lng;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDeparture} > ${L_Model$$ReferenceNumber} > ${Description language}
Header/CustomsOfficeOfDestinationDeclared;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDestinatiBB8B2A99}
Header/CustomsOfficeOfDestinationDeclared/referenceNumber;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDestinatiBB8B2A99} > ${L_Model$$ReferenceNumber}
Header/CustomsOfficeOfDestinationDeclared/referenceNumber/Code;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDestinatiBB8B2A99} > ${L_Model$$ReferenceNumber} > ${ReferenceNumber}
Header/CustomsOfficeOfDestinationDeclared/referenceNumber/Description;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDestinatiBB8B2A99} > ${L_Model$$ReferenceNumber} > ${Description}
Header/CustomsOfficeOfDestinationDeclared/referenceNumber/ValidFrom;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDestinatiBB8B2A99} > ${L_Model$$ReferenceNumber} > ${Valid from}
Header/CustomsOfficeOfDestinationDeclared/referenceNumber/ValidTo;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDestinatiBB8B2A99} > ${L_Model$$ReferenceNumber} > ${Valid to}
Header/CustomsOfficeOfDestinationDeclared/referenceNumber/_description;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDestinatiBB8B2A99} > ${L_Model$$ReferenceNumber} > ${_ description}
Header/CustomsOfficeOfDestinationDeclared/referenceNumber/Lng;${L_main$$Header} > ${L_Model$$CustomsOfficeOfDestinatiBB8B2A99} > ${L_Model$$ReferenceNumber} > ${Description language}
Header/CustomsOfficeOfTransitDeclared;${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared}
Header/CustomsOfficeOfTransitDeclared[];${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared} ${IX_CustomsOfficeOfTransitDeclared}
Header/CustomsOfficeOfTransitDeclared/referenceNumber;${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared} ${IX_CustomsOfficeOfTransitDeclared} > ${L_Model$$ReferenceNumber}
Header/CustomsOfficeOfTransitDeclared/referenceNumber/Code;${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared} ${IX_CustomsOfficeOfTransitDeclared} > ${L_Model$$ReferenceNumber} > ${ReferenceNumber}
Header/CustomsOfficeOfTransitDeclared/referenceNumber/Description;${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared} ${IX_CustomsOfficeOfTransitDeclared} > ${L_Model$$ReferenceNumber} > ${Description}
Header/CustomsOfficeOfTransitDeclared/referenceNumber/ValidFrom;${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared} ${IX_CustomsOfficeOfTransitDeclared} > ${L_Model$$ReferenceNumber} > ${Valid from}
Header/CustomsOfficeOfTransitDeclared/referenceNumber/ValidTo;${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared} ${IX_CustomsOfficeOfTransitDeclared} > ${L_Model$$ReferenceNumber} > ${Valid to}
Header/CustomsOfficeOfTransitDeclared/referenceNumber/_description;${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared} ${IX_CustomsOfficeOfTransitDeclared} > ${L_Model$$ReferenceNumber} > ${_ description}
Header/CustomsOfficeOfTransitDeclared/referenceNumber/Lng;${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared} ${IX_CustomsOfficeOfTransitDeclared} > ${L_Model$$ReferenceNumber} > ${Description language}
Header/CustomsOfficeOfTransitDeclared/arrivalDateAndTimeEstimated;${L_main$$Header} > ${L_Model$$CustomsOfficeOfTransitDeclared} ${IX_CustomsOfficeOfTransitDeclared} > ${L_Model$$ArrivalDateAndTimeEstimated}
Header/CustomsOfficeOfExitForTransitDeclared;${L_main$$Header} > ${L_Model$$CustomsOfficeOfExitForTr4E590375}
Header/CustomsOfficeOfExitForTransitDeclared[];${L_main$$Header} > ${L_Model$$CustomsOfficeOfExitForTr4E590375} ${IX_CustomsOfficeOfExitForTransitDeclared}
Header/CustomsOfficeOfExitForTransitDeclared/referenceNumber;${L_main$$Header} > ${L_Model$$CustomsOfficeOfExitForTr4E590375} ${IX_CustomsOfficeOfExitForTransitDeclared} > ${L_Model$$ReferenceNumber}
Header/CustomsOfficeOfExitForTransitDeclared/referenceNumber/Code;${L_main$$Header} > ${L_Model$$CustomsOfficeOfExitForTr4E590375} ${IX_CustomsOfficeOfExitForTransitDeclared} > ${L_Model$$ReferenceNumber} > ${ReferenceNumber}
Header/CustomsOfficeOfExitForTransitDeclared/referenceNumber/Description;${L_main$$Header} > ${L_Model$$CustomsOfficeOfExitForTr4E590375} ${IX_CustomsOfficeOfExitForTransitDeclared} > ${L_Model$$ReferenceNumber} > ${Description}
Header/CustomsOfficeOfExitForTransitDeclared/referenceNumber/ValidFrom;${L_main$$Header} > ${L_Model$$CustomsOfficeOfExitForTr4E590375} ${IX_CustomsOfficeOfExitForTransitDeclared} > ${L_Model$$ReferenceNumber} > ${Valid from}
Header/CustomsOfficeOfExitForTransitDeclared/referenceNumber/ValidTo;${L_main$$Header} > ${L_Model$$CustomsOfficeOfExitForTr4E590375} ${IX_CustomsOfficeOfExitForTransitDeclared} > ${L_Model$$ReferenceNumber} > ${Valid to}
Header/CustomsOfficeOfExitForTransitDeclared/referenceNumber/_description;${L_main$$Header} > ${L_Model$$CustomsOfficeOfExitForTr4E590375} ${IX_CustomsOfficeOfExitForTransitDeclared} > ${L_Model$$ReferenceNumber} > ${_ description}
Header/CustomsOfficeOfExitForTransitDeclared/referenceNumber/Lng;${L_main$$Header} > ${L_Model$$CustomsOfficeOfExitForTr4E590375} ${IX_CustomsOfficeOfExitForTransitDeclared} > ${L_Model$$ReferenceNumber} > ${Description language}
Header/HolderOfTheTransitProcedure;${L_main$$Header} > ${L_Model$$HolderOfTheTransitProcedure}
Header/HolderOfTheTransitProcedure/identificationNumber;${L_main$$Header} > ${L_Model$$HolderOfTheTransitProcedure} > ${L_Model$$IdentificationNumber}
Header/HolderOfTheTransitProcedure/TIRHolderIdentificationNumber;${L_main$$Header} > ${L_Model$$HolderOfTheTransitProcedure} > ${L_Model$$TIRHolderIdentificationNumber}
Header/HolderOfTheTransitProcedure/name;${L_main$$Header} > ${L_Model$$HolderOfTheTransitProcedure} > ${L_Model$$Name}
Header/HolderOfTheTransitProcedure/Address;${L_main$$Header} > ${L_Model$$HolderOfTheTransitProcedure} > ${L_Model$$Address}
Header/HolderOfTheTransitProcedure/Address/streetAndNumber;${L_main$$Header} > ${L_Model$$HolderOfTheTransitProcedure} > ${L_Model$$Address} > ${L_Model$$StreetAndNumber}
Header/HolderOfTheTransitProcedure/Address/postcode;${L_main$$Header} > ${L_Model$$HolderOfTheTransitProcedure} > ${L_Model$$Address} > ${L_Model$$Postcode}
Header/HolderOfTheTransitProcedure/Address/city;${L_main$$Header} > ${L_Model$$HolderOfTheTransitProcedure} > ${L_Model$$Address} > ${L_Model$$City}
Header/HolderOfTheTransitProcedure/Address/country;${L_main$$Header} > ${L_Model$$HolderOfTheTransitProcedure} > ${L_Model$$Address} > ${L_Model$$Country}
